33;Pink Floyd;The Dark side of the moon
45;Alberto Camerini;Tanza Bambolina
45;Nada;Amore Disperato
33;Radiohead;Ok Computer
78;Fred Buscaglione;Teresa
78;Quartetto Cetta;Un Bacio A Mezzanotte
78;Domenico Modugno;Musetto
33;U2;The Joshua Tree
45;Fiorella Mannoia;Maledetta Primavera
78;Trio Lescano;Piccolo Chalet
45;The Buggles;Video Killed The Radio Star
45;Hot Buttered;Pop Corn
33;The Cure;Three Immaginary Boys
33;Franco Battiato;Fetus
